,Country Code,Continent
0,ABW,North America
2,AFG,Asia
4,AGO,Africa
5,ALB,Europe
6,AND,Europe
8,ARE,Asia
9,ARG,South America
10,ARM,Asia
11,ASM,Oceania
12,ATG,North America
13,AUS,Oceania
14,AUT,Europe
15,AZE,Asia
16,BDI,Africa
17,BEL,Europe
18,BEN,Africa
19,BFA,Africa
20,BGD,Asia
21,BGR,Europe
22,BHR,Asia
23,BHS,North America
24,BIH,Europe
25,BLR,Europe
26,BLZ,North America
27,BMU,North America
28,BOL,South America
29,BRA,South America
30,BRB,North America
31,BRN,Asia
32,BTN,Asia
33,BWA,Africa
34,CAF,Africa
35,CAN,North America
37,CHE,Europe
39,CHL,South America
40,CHN,Asia
41,CIV,Africa
42,CMR,Africa
43,COD,Africa
44,COG,Africa
45,COL,South America
46,COM,Africa
47,CPV,Africa
48,CRI,North America
50,CUB,North America
51,CUW,North America
53,CYP,Asia
54,CZE,Europe
55,DEU,Europe
56,DJI,Africa
57,DMA,North America
58,DNK,Europe
59,DOM,North America
60,DZA,Africa
66,ECU,South America
67,EGY,Africa
69,ERI,Africa
70,ESP,Europe
71,EST,Europe
72,ETH,Africa
75,FIN,Europe
76,FJI,Oceania
77,FRA,Europe
78,FRO,Europe
79,FSM,Oceania
80,GAB,Africa
81,GBR,Europe
82,GEO,Asia
83,GHA,Africa
85,GIN,Africa
86,GMB,Africa
87,GNB,Africa
88,GNQ,Africa
89,GRC,Europe
90,GRD,North America
91,GRL,North America
92,GTM,North America
93,GUM,Oceania
94,GUY,South America
96,HKG,Asia
97,HND,North America
99,HRV,Europe
100,HTI,North America
101,HUN,Europe
106,IDN,Asia
109,IND,Asia
111,IRL,Europe
112,IRN,Asia
113,IRQ,Asia
114,ISL,Europe
115,ISR,Asia
116,ITA,Europe
117,JAM,North America
118,JOR,Asia
119,JPN,Asia
120,KAZ,Asia
121,KEN,Africa
122,KGZ,Asia
123,KHM,Asia
124,KIR,Oceania
125,KNA,North America
126,KOR,Asia
127,KWT,Asia
129,LAO,Asia
130,LBN,Asia
131,LBR,Africa
132,LBY,Africa
133,LCA,North America
137,LIE,Europe
138,LKA,Asia
141,LSO,Africa
143,LTU,Europe
144,LUX,Europe
145,LVA,Europe
146,MAC,Asia
147,MAF,North America
148,MAR,Africa
149,MCO,Europe
150,MDA,Europe
151,MDG,Africa
152,MDV,Asia
154,MEX,North America
155,MHL,Oceania
157,MKD,Europe
158,MLI,Africa
159,MLT,Europe
160,MMR,Asia
162,MNE,Europe
163,MNG,Asia
164,MNP,Oceania
165,MOZ,Africa
166,MRT,Africa
167,MUS,Africa
168,MWI,Africa
169,MYS,Asia
171,NAM,Africa
172,NCL,Oceania
173,NER,Africa
174,NGA,Africa
175,NIC,North America
176,NLD,Europe
177,NOR,Europe
178,NPL,Asia
179,NRU,Oceania
180,NZL,Oceania
182,OMN,Asia
184,PAK,Asia
185,PAN,North America
186,PER,South America
187,PHL,Asia
188,PLW,Oceania
189,PNG,Oceania
190,POL,Europe
192,PRI,North America
193,PRK,Asia
194,PRT,Europe
195,PRY,South America
196,PSE,Asia
200,QAT,Asia
201,ROU,Europe
202,RUS,Europe
203,RWA,Africa
205,SAU,Asia
206,SDN,Africa
207,SEN,Africa
208,SGP,Asia
209,SLB,Oceania
210,SLE,Africa
211,SLV,North America
212,SMR,Europe
213,SOM,Africa
214,SRB,Europe
216,SSD,Africa
219,STP,Africa
220,SUR,South America
221,SVK,Europe
222,SVN,Europe
223,SWE,Europe
224,SWZ,Africa
225,SXM,North America
226,SYC,Africa
227,SYR,Asia
228,TCA,North America
229,TCD,Africa
232,TGO,Africa
233,THA,Asia
234,TJK,Asia
235,TKM,Asia
237,TLS,Asia
239,TON,Oceania
242,TTO,North America
243,TUN,Africa
244,TUR,Asia
245,TUV,Oceania
246,TZA,Africa
247,UGA,Africa
248,UKR,Europe
250,URY,South America
251,USA,North America
252,UZB,Asia
253,VCT,North America
254,VEN,South America
257,VNM,Asia
258,VUT,Oceania
260,WSM,Oceania
262,YEM,Asia
263,ZAF,Africa
264,ZMB,Africa
265,ZWE,Africa
